OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
110,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{E406F071-2137-4995-842D-047ED8D6C0BC},112,FRDE,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDE/Metadata/frde_metadata.xml,Franklin Delano Roosevelt Memorial,2020/05/20 00:00:00+00,DC,NC,1877541,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181122,Franklin Delano Roosevelt,1305.8434783867,54428.2771332062
111,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{8A649B77-D9E5-49F7-86DD-484A8D86B54D},113,FOTH,Lands - http://landsnet.nps.gov/tractsnet/documents/FOTH/Metadata/foth_metadata.xml,Ford's Theatre National Historic Site,2006/09/21 00:00:00+00,DC,NC,530748,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048156,Ford's Theatre,298.369046693771,2010.95638286118
112,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{00FA6EE4-3F79-4304-8D34-D8BC7B98DF51},114,JEFM,Lands - http://landsnet.nps.gov/tractsnet/documents/JEFM/Metadata/jefm_metadata.xml,Thomas Jefferson Memorial,2009/11/06 00:00:00+00,DC,NC,530557,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049278,Thomas Jefferson Memorial,1943.24622489741,131694.976263483
113,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{AE5F630E-22CC-414A-A818-61AB62E5E5CB},115,LINC,Lands - http://landsnet.nps.gov/tractsnet/documents/LINC/Metadata/linc_metadata.xml,Lincoln Memorial,2011/11/04 00:00:00+00,DC,NC,531835,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181132,Lincoln,785.315592479955,48757.2810943358
114,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{69805B72-1591-4D01-852C-5B24727E92B6},116,WAMO,Lands - http://landsnet.nps.gov/tractsnet/documents/WAMO/Metadata/wamo_metadata.xml,Washington Monument,2009/11/06 00:00:00+00,DC,NC,531850,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049241,Washington Monument,4277.12051706059,698443.193524915
115,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{88207736-CF35-4F36-8A6B-0D0D66C4F6A1},117,KOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/KOWA/Metadata/kowa_metadata.xml,Korean War Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,1985525,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181130,Korean War Veterans,511.950673057315,10418.4064382231
116,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B716F7D5-52F1-4B2B-862E-C0FE56BFE7D8},118,PISC,Lands - http://landsnet.nps.gov/tractsnet/documents/PISC/Metadata/pisc_metadata.xml,Piscataway Park,2021/03/03 00:00:00+00,MD,NC,1676813,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048186,Piscataway,42735.9772401694,30633450.4623375
117,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{5E42B3A9-982B-4BAA-8E8D-4B4640AE46B0},119,FRDO,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDO/Metadata/frdo_metadata.xml,Frederick Douglass National Historic Site,2017/03/21 00:00:00+00,DC,NC,2733423,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048159,Frederick Douglass,1101.375343924,56143.0644750561
118,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{0DBB1FA1-06CB-4C6B-A758-214E67060909},120,CAWO,Lands - http://landsnet.nps.gov/tractsnet/documents/CAWO/Metadata/cawo_metadata.xml,Carter G. Woodson Home National Historic Site,2006/03/22 00:00:00+00,DC,NC,2085144,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048147,Carter G. Woodson Home,155.437005455564,1273.03456046263
119,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{43E20450-8881-4327-BE4F-EFC04E24FBB4},121,MONO,Lands - http://landsnet.nps.gov/tractsnet/documents/MONO/Metadata/mono_metadata.xml,Monocacy National Battlefield,2020/09/25 00:00:00+00,MD,NC,588388,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048181,Monocacy,24355.8272043955,10994093.7057591
120,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{159F8CC7-6B9B-4D5B-A2EC-0454A399A8F2},122,PRWI,Lands - http://landsnet.nps.gov/tractsnet/documents/PRWI/Metadata/prwi_metadata.xml,Prince William Forest Park,2023/03/14 14:31:36+00,VA,NC,1472799,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221823,Prince William Forest,49822.7263431041,92507002.2073826
121,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{2F44EF49-DD72-41CD-89A5-10A5BDB65BA5},123,VIVE,Lands - http://landsnet.nps.gov/tractsnet/documents/VIVE/Metadata/vive_metadata.xml,Vietnam Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,531832,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181139,Vietnam Veterans,519.101130017737,14616.5408185834
122,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B5447BFC-FCFF-4B09-8C59-EE8496525B4F},124,COGA,Lands - http://landsnet.nps.gov/tractsnet/documents/COGA/Metadata/coga_metadata.xml,Constitution Gardens,2011/11/03 00:00:00+00,DC,NC,530610,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181119,Constitution Gardens,3334.102039324,285615.662214097
123,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B3430329-4955-4D2D-8306-2F723BE77A72},125,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2023/06/16 15:20:06+00,VA,NC,1888974,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048198,Wolf Trap NP for the Performing Arts,5957.31343415194,897748.516930684
124,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{6858F9A1-B3A4-410F-8460-006570584955},126,WHHO,Lands - http://landsnet.nps.gov/tractsnet/documents/WHHO/Metadata/whho_metadata.xml,White House,2010/05/28 00:00:00+00,DC,NC,2733430,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165312,President's Park (White House),1366.08911051861,122787.858958878
125,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ED07D118-2374-44F7-84D6-D3490D02629A},127,FLNI,Lands - http://landsnet.nps.gov/tractsnet/documents/FLNI/Metadata/flni_metadata.xml,Flight 93 National Memorial,2013/02/05 00:00:00+00,PA,NE,1986830,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194468,Flight 93,23713.442823534,15660815.1736491
126,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{7ADC8A95-3508-47A2-8BA9-DDEAB46319CC},128,ALPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ALPO/Metadata/alpo_metadata.xml,Allegheny Portage Railroad National Historic Site,2014/08/04 00:00:00+00,PA,NE,1214216,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215968,Allegheny Portage Railroad,57275.1627358523,9165311.46118681
127,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{CC7A57AF-735B-40A6-950B-C2BECA903FE6},129,FONE,Lands - http://landsnet.nps.gov/tractsnet/documents/FONE/Metadata/fone_metadata.xml,Fort Necessity National Battlefield,2013/09/24 00:00:00+00,PA,NE,1193713,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208012,Fort Necessity,18001.8090682772,6290267.14521876
128,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{4F72D7A6-8372-4FFD-9489-E7D52447F4E5},130,JOFL,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFL/Metadata/jofl_metadata.xml,Johnstown Flood National Memorial,2012/08/28 00:00:00+00,PA,NE,1200751,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188827,Johnstown Flood,8381.7616321385,1253202.75636038
129,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{564B05FE-0101-478A-B50E-24F08096EF97},132,APPA,Lands - http://landsnet.nps.gov/tractsnet/documents/APPA/Metadata/appa_metadata.xml,Appalachian National Scenic Trail,2022/12/08 14:41:43+00,CT,NE,2766084,National Scenic Trail,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259619,Appalachian,8998542.69040675,2228012427.78698
130,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B6C4B32A-C291-4C88-91CA-18ECDD20E47A},133,APCO,Lands - http://landsnet.nps.gov/tractsnet/documents/APCO/Metadata/apco_metadata.xml,Appomattox Court House National Historical Park,2010/10/07 00:00:00+00,VA,NE,1462531,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166449,Appomattox Court House,29122.1640124448,11419907.2026341
131,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{42C2386A-1E2C-42D3-812F-712C499AB7A0},134,ASIS,Unofficial Boundary of Assateague Island National Seashore.,Assateague Island National Seashore,2013/12/18 00:00:00+00,MD,NE,589056,National Seashore,Park,Preliminary data. Contact the Land Resources Program for additional information.,Assateague Island,176295.270880132,279576044.668174
132,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ABAAC717-5DE0-4EA6-B3B2-8DF12D1CF204},135,BLUE,Unofficial Boundary of Bluestone National Scenic River.,Bluestone National Scenic River,2013/12/18 00:00:00+00,WV,NE,1877617,National Wild & Scenic River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Bluestone,59931.2267594926,27851054.6496024
133,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{EE4DFE72-A5DD-46AF-9905-225FBE65B9BD},136,BOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOWA/Metadata/bowa_metadata.xml,Booker T. Washington National Monument,2010/06/07 00:00:00+00,VA,NE,1477005,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165302,Booker T Washington,8349.6150556682,1555430.52509112
134,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{52680C87-8FA2-4E86-B7DB-3B5B1621EBB5},137,CEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBE/Metadata/cebe_metadata.xml,Cedar Creek and Belle Grove National Historical Park,2005/04/07 00:00:00+00,VA,NE,1985663,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048148,Cedar Creek & Belle Grove,53250.8577560236,23282831.5586945
135,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{9CD51450-E627-438A-8C35-A769BA4BFC31},138,COLO,Lands - http://landsnet.nps.gov/tractsnet/documents/COLO/Metadata/colo_metadata.xml,Colonial National Historical Park,2019/06/30 00:00:00+00,VA,NE,1478412,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2264898,Colonial,215325.713982903,54414975.3394868
136,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{29DE227C-B3B3-4C25-A39D-270F47AC8703},140,DEWA,Unofficial Boundary of Delaware Water Gap National Recreation Area.,Delaware Water Gap National Recreation Area,2018/05/25 00:00:00+00,NJ,NE,1193711,National Recreation Area,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Delaware Water Gap,623859.804656396,492233830.729154
137,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{F8665709-693E-4DB2-8FDC-555D22E5BCEE},141,EDAL,Lands - http://landsnet.nps.gov/tractsnet/documents/EDAL/Metadata/edal_metadata.xml,Edgar Allan Poe National Historic Site,2009/03/17 00:00:00+00,PA,NE,1888911,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048151,Edgar Allan Poe,281.411364839078,3603.23285465261
138,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{D0EE2222-EF1F-4796-967B-15C0F97E9450},142,DELA,Unofficial Boundary of Middle Delaware National Scenic River.,Middle Delaware National Scenic River,2018/10/17 00:00:00+00,NJ,NE,need,National Wild & Scenic River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Delaware,242145.033779745,19974061.1456986
139,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A0049BE8-C9A3-49EE-98D8-FF5AB6762C12},143,FOMC,Lands - http://landsnet.nps.gov/tractsnet/documents/FOMC/Metadata/fomc_metadata.xml,Fort McHenry National Monument and Historic Shrine,2012/01/13 00:00:00+00,MD,NE,595218,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210703,Fort McHenry,2454.0100465059,315838.462612742
140,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{078F08A5-D74C-4D05-BD74-469C361357A8},144,GARI,Unofficial Boundary of Gauley River National Recreation Area.,Gauley River National Recreation Area,2022/12/31 11:02:15+00,WV,NE,1741168,National Recreation Area,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Gauley River,137751.950260492,72806850.2925274
141,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{6E6B4D01-872D-4F45-9B04-C730E54F547E},145,HAMP,Lands - http://landsnet.nps.gov/tractsnet/documents/HAMP/Metadata/hamp_metadata.xml,Hampton National Historic Site,2016/01/26 00:00:00+00,MD,NE,584846,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182232,Hampton,3921.10206911979,421003.348808857
142,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{271EF175-188A-4A3B-8A1B-D638C99BA3E4},146,FRHI,Lands - http://landsnet.nps.gov/tractsnet/documents/FRHI/Metadata/frhi_metadata.xml,Friendship Hill National Historic Site,2011/04/14 00:00:00+00,PA,NE,1888922,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171831,Friendship Hill,13931.3122923731,4631731.29511197
143,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{11CEF7A6-D6D2-437C-90A1-8C92EFE2F4FD},147,FRSP,Lands - http://landsnet.nps.gov/tractsnet/documents/FRSP/Metadata/frsp_metadata.xml,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,2016/09/30 00:00:00+00,VA,NE,1488838,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235461,Fredericksburg & Spotsylvania,200634.441784437,60945548.8554761
144,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{3372EFAA-67FE-4B00-B557-9697F5937FE5},148,GEWA,Lands - http://landsnet.nps.gov/tractsnet/documents/GEWA/Metadata/gewa_metadata.xml,George Washington Birthplace National Monument,2023/09/18 16:12:52+00,VA,NE,1467038,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229064,George Washington Birthplace,11997.3163899377,4323538.55853271
145,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{4F3F17D3-A39E-49F9-9E58-16BEBC19BD75},150,GETT,Lands - http://landsnet.nps.gov/tractsnet/documents/GETT/Metadata/gett_metadata.xml,Gettysburg National Military Park,2021/01/11 00:00:00+00,PA,NE,1175577,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220221,Gettysburg,94842.4005793574,41670785.4152506
146,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{6954845D-BAF8-4B76-818B-0BEFF78341C7},151,EISE,Lands - http://landsnet.nps.gov/tractsnet/documents/EISE/Metadata/eise_metadata.xml,Eisenhower National Historic Site,2013/07/08 00:00:00+00,PA,NE,1888912,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196717,Eisenhower,14050.0967774955,4756910.21021601
147,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{86CF863A-71C9-4E59-BA64-DC3681155978},152,HOFU,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFU/Metadata/hofu_metadata.xml,Hopewell Furnace National Historic Site,2011/08/17 00:00:00+00,PA,NE,1193717,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180623,Hopewell Furnace,14014.7606840805,5895031.21869099
148,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B4F07D5E-B488-43AB-828B-F22B8B2EC28D},153,INDE,Lands - http://landsnet.nps.gov/tractsnet/documents/INDE/Metadata/inde_metadata.xml,Independence National Historical Park,2017/11/09 00:00:00+00,PA,NE,1177725,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2249521,Independence,9431.15344436659,298507.430296412
149,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{FABED506-9AA9-46CE-8A6C-958777B52B56},154,THKO,Lands - http://landsnet.nps.gov/tractsnet/documents/THKO/Metadata/thko_metadata.xml,Thaddeus Kosciuszko National Memorial,2010/07/07 00:00:00+00,PA,NE,1888966,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165600,Thaddeus Kosciuszko,56.145369764688,192.984366419395
150,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{9A356CFC-3BFE-4745-B432-6D0EB52D1DB0},157,PETE,Lands - http://landsnet.nps.gov/tractsnet/documents/PETE/Metadata/pete_metadata.xml,Petersburg National Battlefield,2011/02/02 00:00:00+00,VA,NE,1498529,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2169676,Petersburg,55879.6660753422,17776168.8962005
151,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{CE9BB543-6914-4A86-962C-B75ACED121F1},158,NERI,Unofficial Boundary of New River Gorge National Park and Preserve.,New River Gorge National Park and Preserve,2013/12/18 00:00:00+00,WV,NE,1877618,National Preserve,Lands,Preliminary data. Contact the Land Resources Program for additional information.,New River Gorge,377213.330069842,466875555.135612
152,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{53EA2C72-9A43-4671-BBDA-01BAC1F100D8},159,MAWA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAWA/Metadata/mawa_metadata.xml,Maggie L. Walker National Historic Site,2011/11/30 00:00:00+00,VA,NE,1780716,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182230,Maggie L. Walker,549.226648819634,8394.59463249322
153,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{E788BD74-5F3C-4637-AD5C-9692D0A375E8},160,RICH,Lands - http://landsnet.nps.gov/tractsnet/documents/RICH/Metadata/rich_metadata.xml,Richmond National Battlefield Park,2021/03/23 00:00:00+00,VA,NE,1473199,National Battlefield Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223252,Richmond,176089.056619241,52827864.864075
154,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{0F1C9CF6-4C0F-401A-ABB9-6A82038455C3},161,SHEN,Unofficial Boundary of Shenandoah National Park.,Shenandoah National Park,2013/12/18 00:00:00+00,VA,NE,1488805,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Shenandoah,785323.329907564,1309300933.10177
155,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BE874D46-095F-4422-B808-A6CCD7C5358F},162,THST,Lands - http://landsnet.nps.gov/tractsnet/documents/THST/Metadata/thst_metadata.xml,Thomas Stone National Historic Site,2009/07/28 00:00:00+00,MD,NE,1888967,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048411,Thomas Stone,6334.90145039861,2172355.73670394
156,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{3B5C7FEB-D52E-4899-BBE1-6FA3905D297A},163,STEA,Unofficial Boundary of Steamtown National Historic Site.,Steamtown National Historic Site,2013/12/18 00:00:00+00,PA,NE,1877509,National Historic Site,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Steamtown,6727.05326727798,436571.810507908
157,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{2636D25E-CEE8-43DC-8B11-14E462C4FF28},164,UPDE,Lands - http://landsnet.nps.gov/tractsnet/documents/UPDE/Metadata/upde_metadata.xml,Upper Delaware Scenic and Recreational River,2015/12/22 00:00:00+00,NY,NE,1888970,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225706,Upper Delaware,315325.408056817,414752036.525248
158,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{C8320452-9CA3-4C40-AA0B-228606313CBF},165,VAFO,Lands - http://landsnet.nps.gov/tractsnet/documents/VAFO/Metadata/vafo_metadata.xml,Valley Forge National Historical Park,2018/05/14 00:00:00+00,PA,NE,1211947,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048195,Valley Forge,30664.0038071212,23893035.3623897
159,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B450915D-D1C0-42EF-A375-A5E777A8FC93},166,BICY,Lands - http://landsnet.nps.gov/tractsnet/documents/BICY/Metadata/bicy_metadata.xml,Big Cypress National Preserve,2019/09/26 00:00:00+00,FL,SE,302659,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2266795,Big Cypress,296738.814678046,3659385199.23811
160,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{14B7591C-AAE6-488C-86C8-506B54517EE5},167,TUIN,Lands - http://landsnet.nps.gov/tractsnet/documents/TUIN/Metadata/tuin_metadata.xml,Tuskegee Institute National Historic Site,2016/01/14 00:00:00+00,AL,SE,158362,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229067,Tuskegee Institute,3809.87502910983,352543.762141412
161,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{1AAD0431-D0ED-4E4B-A6ED-FC28750BBC33},168,CANA,Lands - http://landsnet.nps.gov/tractsnet/documents/CANA/Metadata/cana_metadata.xml,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048145,Canaveral,112604.043801554,309112930.215887
162,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{941DDECD-0E14-4033-A302-7C7EA9FF4516},169,CHAT,Lands - http://landsnet.nps.gov/tractsnet/documents/CHAT/Metadata/chat_metadata.xml,Chattahoochee River National Recreation Area,2021/03/09 00:00:00+00,GA,SE,1688073,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2275647,Chattahoochee River,326394.16277702,70122898.9470472
163,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B7AEFF9B-9571-4520-9B40-79067B82979B},172,ANDE,Lands - http://landsnet.nps.gov/tractsnet/documents/ANDE/Metadata/ande_metadata.xml,Andersonville National Historic Site,2014/08/19 00:00:00+00,GA,SE,310534,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215967,Andersonville,8539.02952846378,2953276.75173458
164,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{587FC870-7BFD-4F84-ABEA-AA07615BA282},173,BISO,Unofficial Boundary of Big South Fork National River and Recreation Area.,Big South Fork National River and Recreation Area,2013/12/18 00:00:00+00,KY,SE,1309762,National River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Big South Fork,349536.181850992,769133448.132872
165,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ADDDF0D1-EDC1-42A6-8923-32D0AC26D717},174,BLRI,Lands - http://landsnet.nps.gov/tractsnet/documents/BLRI/Metadata/blri_metadata.xml,Blue Ridge Parkway,2023/09/28 11:30:07+00,NC,SE,1009494,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2285011,Blue Ridge Parkway,2284674.34027069,642199529.448435
166,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A2CAAE53-9109-40CC-840E-9405F30D1E5B},175,CARL,Lands - http://landsnet.nps.gov/tractsnet/documents/CARL/Metadata/carl_metadata.xml,Carl Sandburg Home National Historic Site,2020/09/30 00:00:00+00,NC,SE,1006677,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047923,Carl Sandburg Home,7152.26939446046,1640145.72621361
167,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{0376B223-979D-4A9A-AB37-D7BEA84D22A4},176,GUCO,Lands - http://landsnet.nps.gov/tractsnet/documents/GUCO/Metadata/guco_metadata.xml,Guilford Courthouse National Military Park,2020/09/23 00:00:00+00,NC,SE,986193,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223245,Guilford Courthouse,10228.1720277846,1410140.44394289
